,Py1
982382400000,0.75
982386000000,0.748
982389600000,0.727
982393200000,0.683
982396800000,0.594
982400400000,0.571
982404000000,0.604
982407600000,0.627
982411200000,0.657
982414800000,0.645
982418400000,0.647
982422000000,0.672
982425600000,0.651
982429200000,0.664
982432800000,0.701
982436400000,0.73
982440000000,0.754
982443600000,0.774
982447200000,0.77
982450800000,0.752
982454400000,0.765
982458000000,0.824
982461600000,0.886
982465200000,0.91
982468800000,0.936
982472400000,0.945
982476000000,0.933
982479600000,0.924
982483200000,0.933
982486800000,0.959
982490400000,0.966
982494000000,0.944
982497600000,0.917
982501200000,0.898
982504800000,0.862
982508400000,0.824
982512000000,0.791
982515600000,0.665
982519200000,0.51
982522800000,0.414
982526400000,0.395
982530000000,0.364
982533600000,0.435
982537200000,0.519
982540800000,0.633
982544400000,0.726
982548000000,0.733
982551600000,0.707
982555200000,0.64
982558800000,0.535
982562400000,0.462
982566000000,0.438
982569600000,0.46
982573200000,0.497
982576800000,0.556
982580400000,0.62
982584000000,0.666
982587600000,0.682
982591200000,0.668
982594800000,0.687
982598400000,0.662
982602000000,0.58
982605600000,0.495
982609200000,0.415
982612800000,0.355
982616400000,0.337
982620000000,0.313
982623600000,0.311
982627200000,0.401
982630800000,0.5
982634400000,0.549
982638000000,0.521
982641600000,0.453
982645200000,0.392
982648800000,0.323
982652400000,0.241
982656000000,0.178
982659600000,0.192
982663200000,0.223
982666800000,0.241
982670400000,0.245
982674000000,0.245
982677600000,0.243
982681200000,0.224
982684800000,0.219
982688400000,0.22
982692000000,0.203
982695600000,0.196
982699200000,0.193
982702800000,0.189
982706400000,0.177
982710000000,0.169
982713600000,0.22
982717200000,0.264
982720800000,0.28
982724400000,0.292
982728000000,0.308
982731600000,0.314
982735200000,0.305
982738800000,0.268
982742400000,0.221
982746000000,0.163
982749600000,0.132
982753200000,0.13
982756800000,0.14
982760400000,0.142
982764000000,0.141
982767600000,0.141
982771200000,0.132
982774800000,0.125
982778400000,0.124
982782000000,0.133
982785600000,0.148
982789200000,0.153
982792800000,0.133
982796400000,0.104
982800000000,0.109
982803600000,0.102
982807200000,0.09
982810800000,0.078
982814400000,0.062
982818000000,0.042
982821600000,0.024
982825200000,0.013
982828800000,0.011
982832400000,0.013
982836000000,0.013
982839600000,0.013
982843200000,0.011
982846800000,0.01
982850400000,0.008
982854000000,0.006
982857600000,0.004
982861200000,0.004
982864800000,0.006
982868400000,0.01
982872000000,0.014
982875600000,0.016
982879200000,0.015
982882800000,0.013
982886400000,0.012
982890000000,0.009
982893600000,0.004
982897200000,0.002
982900800000,0.001
982904400000,0.0
982908000000,0.0
982911600000,0.0
982915200000,0.0
982918800000,0.0
982922400000,0.001
982926000000,0.001
982929600000,0.001
982933200000,0.002
982936800000,0.004
982940400000,0.009
982944000000,0.017
982947600000,0.024
982951200000,0.026
982954800000,0.023
982958400000,0.016
982962000000,0.009
982965600000,0.003
982969200000,0.001
982972800000,0.0
982976400000,0.0
982980000000,0.0
982983600000,0.001
982987200000,0.001
982990800000,0.001
982994400000,0.001
982998000000,0.002
983001600000,0.003
983005200000,0.003
983008800000,0.002
983012400000,0.001
983016000000,0.0
983019600000,0.0
983023200000,0.0
983026800000,0.002
983030400000,0.013
983034000000,0.035
983037600000,0.053
983041200000,0.066
983044800000,0.071
983048400000,0.068
983052000000,0.065
983055600000,0.068
983059200000,0.079
983062800000,0.091
983066400000,0.095
983070000000,0.097
983073600000,0.097
983077200000,0.096
983080800000,0.097
983084400000,0.099
983088000000,0.093
983091600000,0.088
983095200000,0.092
983098800000,0.093
983102400000,0.111
983106000000,0.14
983109600000,0.163
983113200000,0.174
983116800000,0.182
983120400000,0.196
983124000000,0.212
983127600000,0.217
983131200000,0.205
983134800000,0.198
983138400000,0.187
983142000000,0.174
983145600000,0.186
983149200000,0.182
983152800000,0.171
983156400000,0.167
983160000000,0.169
983163600000,0.168
983167200000,0.166
983170800000,0.164
983174400000,0.155
983178000000,0.143
983181600000,0.167
983185200000,0.21
983188800000,0.278
983192400000,0.314
983196000000,0.332
983199600000,0.367
983203200000,0.379
983206800000,0.393
983210400000,0.394
983214000000,0.413
983217600000,0.445
983221200000,0.459
983224800000,0.426
983228400000,0.444
983232000000,0.454
983235600000,0.43
983239200000,0.376
983242800000,0.304
983246400000,0.237
983250000000,0.192
983253600000,0.17
983257200000,0.164
983260800000,0.146
983264400000,0.139
983268000000,0.195
983271600000,0.309
983275200000,0.44
983278800000,0.473
983282400000,0.448
983286000000,0.431
983289600000,0.425
983293200000,0.441
983296800000,0.464
983300400000,0.462
983304000000,0.462
983307600000,0.463
983311200000,0.437
983314800000,0.433
983318400000,0.461
983322000000,0.442
983325600000,0.427
983329200000,0.406
983332800000,0.374
983336400000,0.337
983340000000,0.308
983343600000,0.264
983347200000,0.178
983350800000,0.134
983354400000,0.155
983358000000,0.184
983361600000,0.229
