,L1
1581966000000,0.903
1581969600000,0.91
1581973200000,0.911
1581976800000,0.907
1581980400000,0.915
1581984000000,0.926
1581987600000,0.92
1581991200000,0.909
1581994800000,0.905
1581998400000,0.906
1582002000000,0.907
1582005600000,0.91
1582009200000,0.913
1582012800000,0.911
1582016400000,0.881
1582020000000,0.847
1582023600000,0.821
1582027200000,0.8
1582030800000,0.786
1582034400000,0.762
1582038000000,0.76
1582041600000,0.77
1582045200000,0.764
1582048800000,0.75
1582052400000,0.744
1582056000000,0.74
1582059600000,0.724
1582063200000,0.706
1582066800000,0.733
1582070400000,0.748
1582074000000,0.728
1582077600000,0.71
1582081200000,0.708
1582084800000,0.714
1582088400000,0.72
1582092000000,0.73
1582095600000,0.748
1582099200000,0.76
1582102800000,0.726
1582106400000,0.682
1582110000000,0.684
1582113600000,0.672
1582117200000,0.657
1582120800000,0.647
1582124400000,0.669
1582128000000,0.695
1582131600000,0.703
1582135200000,0.705
1582138800000,0.726
1582142400000,0.73
1582146000000,0.732
1582149600000,0.739
1582153200000,0.723
1582156800000,0.739
1582160400000,0.75
1582164000000,0.757
1582167600000,0.774
1582171200000,0.808
1582174800000,0.839
1582178400000,0.863
1582182000000,0.882
1582185600000,0.884
1582189200000,0.853
1582192800000,0.828
1582196400000,0.806
1582200000000,0.809
1582203600000,0.814
1582207200000,0.814
1582210800000,0.826
1582214400000,0.844
1582218000000,0.85
1582221600000,0.843
1582225200000,0.846
1582228800000,0.857
1582232400000,0.853
1582236000000,0.84
1582239600000,0.837
1582243200000,0.893
1582246800000,0.906
1582250400000,0.899
1582254000000,0.899
1582257600000,0.9
1582261200000,0.898
1582264800000,0.896
1582268400000,0.892
1582272000000,0.872
1582275600000,0.829
1582279200000,0.777
1582282800000,0.734
1582286400000,0.69
1582290000000,0.648
1582293600000,0.635
1582297200000,0.654
1582300800000,0.677
1582304400000,0.697
1582308000000,0.72
1582311600000,0.748
1582315200000,0.757
1582318800000,0.769
1582322400000,0.786
1582326000000,0.782
1582329600000,0.835
1582333200000,0.843
1582336800000,0.831
1582340400000,0.837
1582344000000,0.86
1582347600000,0.879
1582351200000,0.884
1582354800000,0.878
1582358400000,0.866
1582362000000,0.837
1582365600000,0.809
1582369200000,0.788
1582372800000,0.779
1582376400000,0.789
1582380000000,0.795
1582383600000,0.823
1582387200000,0.845
1582390800000,0.844
1582394400000,0.827
1582398000000,0.803
1582401600000,0.823
1582405200000,0.814
1582408800000,0.809
1582412400000,0.801
1582416000000,0.862
1582419600000,0.883
1582423200000,0.872
1582426800000,0.874
1582430400000,0.895
1582434000000,0.915
1582437600000,0.93
1582441200000,0.939
1582444800000,0.932
1582448400000,0.902
1582452000000,0.89
1582455600000,0.89
1582459200000,0.884
1582462800000,0.871
1582466400000,0.865
1582470000000,0.87
1582473600000,0.866
1582477200000,0.845
1582480800000,0.827
1582484400000,0.804
1582488000000,0.782
1582491600000,0.737
1582495200000,0.666
1582498800000,0.622
1582502400000,0.678
1582506000000,0.68
1582509600000,0.62
1582513200000,0.596
1582516800000,0.633
1582520400000,0.695
1582524000000,0.758
1582527600000,0.806
1582531200000,0.808
1582534800000,0.751
1582538400000,0.704
1582542000000,0.666
1582545600000,0.633
1582549200000,0.592
1582552800000,0.527
1582556400000,0.503
1582560000000,0.486
1582563600000,0.459
1582567200000,0.444
1582570800000,0.434
1582574400000,0.439
1582578000000,0.436
1582581600000,0.434
1582585200000,0.454
1582588800000,0.595
1582592400000,0.589
1582596000000,0.534
1582599600000,0.507
1582603200000,0.523
1582606800000,0.556
1582610400000,0.602
1582614000000,0.651
1582617600000,0.671
1582621200000,0.632
1582624800000,0.6
1582628400000,0.55
1582632000000,0.494
1582635600000,0.432
1582639200000,0.383
1582642800000,0.388
1582646400000,0.398
1582650000000,0.386
1582653600000,0.368
1582657200000,0.362
1582660800000,0.355
1582664400000,0.33
1582668000000,0.284
1582671600000,0.245
1582675200000,0.28
1582678800000,0.273
1582682400000,0.266
1582686000000,0.3
1582689600000,0.366
1582693200000,0.452
1582696800000,0.544
1582700400000,0.635
1582704000000,0.695
1582707600000,0.684
1582711200000,0.672
1582714800000,0.643
1582718400000,0.603
1582722000000,0.57
1582725600000,0.558
1582729200000,0.528
1582732800000,0.508
1582736400000,0.506
1582740000000,0.566
1582743600000,0.601
1582747200000,0.605
1582750800000,0.599
1582754400000,0.574
1582758000000,0.592
1582761600000,0.655
1582765200000,0.668
1582768800000,0.686
1582772400000,0.719
1582776000000,0.751
1582779600000,0.774
1582783200000,0.797
1582786800000,0.817
1582790400000,0.82
1582794000000,0.768
1582797600000,0.704
1582801200000,0.669
1582804800000,0.649
1582808400000,0.63
1582812000000,0.613
1582815600000,0.615
1582819200000,0.623
1582822800000,0.631
1582826400000,0.638
1582830000000,0.635
1582833600000,0.619
1582837200000,0.612
1582840800000,0.58
1582844400000,0.626
1582848000000,0.713
1582851600000,0.725
1582855200000,0.71
1582858800000,0.678
1582862400000,0.647
