,V1
665870400000,0.31
665874000000,0.343
665877600000,0.345
665881200000,0.46
665884800000,0.523
665888400000,0.491
665892000000,0.415
665895600000,0.345
665899200000,0.298
665902800000,0.269
665906400000,0.265
665910000000,0.285
665913600000,0.311
665917200000,0.32
665920800000,0.343
665924400000,0.346
665928000000,0.347
665931600000,0.362
665935200000,0.376
665938800000,0.329
665942400000,0.314
665946000000,0.322
665949600000,0.329
665953200000,0.341
665956800000,0.353
665960400000,0.358
665964000000,0.337
665967600000,0.395
665971200000,0.444
665974800000,0.428
665978400000,0.366
665982000000,0.321
665985600000,0.296
665989200000,0.276
665992800000,0.267
665996400000,0.274
666000000000,0.281
666003600000,0.275
666007200000,0.312
666010800000,0.318
666014400000,0.355
666018000000,0.394
666021600000,0.398
666025200000,0.368
666028800000,0.357
666032400000,0.328
666036000000,0.323
666039600000,0.354
666043200000,0.38
666046800000,0.389
666050400000,0.398
666054000000,0.495
666057600000,0.632
666061200000,0.698
666064800000,0.693
666068400000,0.658
666072000000,0.62
666075600000,0.585
666079200000,0.567
666082800000,0.566
666086400000,0.546
666090000000,0.421
666093600000,0.323
666097200000,0.31
666100800000,0.325
666104400000,0.355
666108000000,0.386
666111600000,0.386
666115200000,0.381
666118800000,0.366
666122400000,0.386
666126000000,0.404
666129600000,0.404
666133200000,0.418
666136800000,0.442
666140400000,0.601
666144000000,0.647
666147600000,0.625
666151200000,0.578
666154800000,0.527
666158400000,0.485
666162000000,0.448
666165600000,0.428
666169200000,0.439
666172800000,0.461
666176400000,0.42
666180000000,0.377
666183600000,0.355
666187200000,0.337
666190800000,0.308
666194400000,0.305
666198000000,0.31
666201600000,0.341
666205200000,0.343
666208800000,0.36
666212400000,0.386
666216000000,0.401
666219600000,0.395
666223200000,0.404
666226800000,0.568
666230400000,0.59
666234000000,0.546
666237600000,0.486
666241200000,0.449
666244800000,0.437
666248400000,0.447
666252000000,0.476
666255600000,0.525
666259200000,0.562
666262800000,0.493
666266400000,0.423
666270000000,0.408
666273600000,0.411
666277200000,0.379
666280800000,0.365
666284400000,0.368
666288000000,0.407
666291600000,0.437
666295200000,0.467
666298800000,0.452
666302400000,0.442
666306000000,0.464
666309600000,0.471
666313200000,0.613
666316800000,0.668
666320400000,0.662
666324000000,0.639
666327600000,0.638
666331200000,0.639
666334800000,0.638
666338400000,0.644
666342000000,0.657
666345600000,0.665
666349200000,0.59
666352800000,0.491
666356400000,0.479
666360000000,0.501
666363600000,0.526
666367200000,0.552
666370800000,0.574
666374400000,0.59
666378000000,0.607
666381600000,0.603
666385200000,0.6
666388800000,0.593
666392400000,0.566
666396000000,0.529
666399600000,0.635
666403200000,0.644
666406800000,0.575
666410400000,0.481
666414000000,0.411
666417600000,0.367
666421200000,0.339
666424800000,0.337
666428400000,0.355
666432000000,0.388
666435600000,0.408
666439200000,0.385
666442800000,0.341
666446400000,0.346
666450000000,0.374
666453600000,0.434
666457200000,0.469
666460800000,0.46
666464400000,0.422
666468000000,0.38
666471600000,0.352
666475200000,0.325
666478800000,0.279
666482400000,0.231
666486000000,0.265
666489600000,0.274
666493200000,0.259
666496800000,0.234
666500400000,0.212
666504000000,0.2
666507600000,0.192
666511200000,0.196
666514800000,0.214
666518400000,0.245
666522000000,0.265
666525600000,0.271
666529200000,0.246
666532800000,0.213
666536400000,0.19
666540000000,0.176
666543600000,0.179
666547200000,0.184
666550800000,0.205
666554400000,0.21
666558000000,0.213
666561600000,0.233
666565200000,0.264
666568800000,0.27
666572400000,0.302
666576000000,0.277
666579600000,0.223
666583200000,0.172
666586800000,0.136
666590400000,0.113
666594000000,0.1
666597600000,0.095
666601200000,0.104
666604800000,0.124
666608400000,0.159
666612000000,0.204
666615600000,0.201
666619200000,0.18
666622800000,0.17
666626400000,0.182
666630000000,0.2
666633600000,0.197
666637200000,0.192
666640800000,0.188
666644400000,0.187
666648000000,0.193
666651600000,0.197
666655200000,0.186
666658800000,0.227
666662400000,0.221
666666000000,0.217
666669600000,0.212
666673200000,0.217
666676800000,0.237
666680400000,0.274
666684000000,0.329
666687600000,0.394
666691200000,0.444
666694800000,0.432
666698400000,0.355
666702000000,0.285
666705600000,0.284
666709200000,0.3
666712800000,0.316
666716400000,0.328
666720000000,0.385
666723600000,0.41
666727200000,0.437
666730800000,0.441
666734400000,0.424
666738000000,0.432
666741600000,0.445
666745200000,0.55
666748800000,0.564
666752400000,0.548
666756000000,0.512
666759600000,0.471
666763200000,0.435
666766800000,0.407
666770400000,0.392
666774000000,0.396
666777600000,0.41
666781200000,0.382
666784800000,0.348
666788400000,0.3
666792000000,0.287
666795600000,0.268
666799200000,0.252
666802800000,0.244
666806400000,0.25
666810000000,0.251
666813600000,0.267
666817200000,0.267
666820800000,0.282
666824400000,0.27
666828000000,0.249
666831600000,0.28
666835200000,0.241
666838800000,0.187
666842400000,0.144
666846000000,0.125
666849600000,0.125
666853200000,0.144
666856800000,0.182
666860400000,0.253
666864000000,0.367
666867600000,0.444
666871200000,0.464
666874800000,0.462
666878400000,0.415
