,N1
697258800000,0.724
697262400000,0.716
697266000000,0.653
697269600000,0.546
697273200000,0.384
697276800000,0.175
697280400000,0.006
697284000000,0.0
697287600000,0.0
697291200000,0.0
697294800000,0.0
697298400000,0.0
697302000000,0.0
697305600000,0.0
697309200000,0.0
697312800000,0.0
697316400000,0.0
697320000000,0.0
697323600000,0.0
697327200000,0.04
697330800000,0.208
697334400000,0.44
697338000000,0.611
697341600000,0.708
697345200000,0.743
697348800000,0.724
697352400000,0.666
697356000000,0.561
697359600000,0.398
697363200000,0.186
697366800000,0.007
697370400000,0.0
697374000000,0.0
697377600000,0.0
697381200000,0.0
697384800000,0.0
697388400000,0.0
697392000000,0.0
697395600000,0.0
697399200000,0.0
697402800000,0.0
697406400000,0.0
697410000000,0.0
697413600000,0.03
697417200000,0.168
697420800000,0.359
697424400000,0.536
697428000000,0.628
697431600000,0.679
697435200000,0.689
697438800000,0.645
697442400000,0.546
697446000000,0.39
697449600000,0.173
697453200000,0.006
697456800000,0.0
697460400000,0.0
697464000000,0.0
697467600000,0.0
697471200000,0.0
697474800000,0.0
697478400000,0.0
697482000000,0.0
697485600000,0.0
697489200000,0.0
697492800000,0.0
697496400000,0.0
697500000000,0.057
697503600000,0.258
697507200000,0.468
697510800000,0.595
697514400000,0.672
697518000000,0.707
697521600000,0.698
697525200000,0.652
697528800000,0.56
697532400000,0.405
697536000000,0.193
697539600000,0.01
697543200000,0.0
697546800000,0.0
697550400000,0.0
697554000000,0.0
697557600000,0.0
697561200000,0.0
697564800000,0.0
697568400000,0.0
697572000000,0.0
697575600000,0.0
697579200000,0.0
697582800000,0.0
697586400000,0.052
697590000000,0.236
697593600000,0.462
697597200000,0.602
697600800000,0.68
697604400000,0.717
697608000000,0.701
697611600000,0.643
697615200000,0.535
697618800000,0.347
697622400000,0.13
697626000000,0.002
697629600000,0.0
697633200000,0.0
697636800000,0.0
697640400000,0.0
697644000000,0.0
697647600000,0.0
697651200000,0.0
697654800000,0.0
697658400000,0.0
697662000000,0.0
697665600000,0.0
697669200000,0.0
697672800000,0.054
697676400000,0.261
697680000000,0.478
697683600000,0.621
697687200000,0.716
697690800000,0.757
697694400000,0.746
697698000000,0.686
697701600000,0.575
697705200000,0.406
697708800000,0.194
697712400000,0.01
697716000000,0.0
697719600000,0.0
697723200000,0.0
697726800000,0.0
697730400000,0.0
697734000000,0.0
697737600000,0.0
697741200000,0.0
697744800000,0.0
697748400000,0.0
697752000000,0.0
697755600000,0.0
697759200000,0.058
697762800000,0.275
697766400000,0.486
697770000000,0.629
697773600000,0.714
697777200000,0.743
697780800000,0.719
697784400000,0.669
697788000000,0.548
697791600000,0.386
697795200000,0.181
697798800000,0.009
697802400000,0.0
697806000000,0.0
697809600000,0.0
697813200000,0.0
697816800000,0.0
697820400000,0.0
697824000000,0.0
697827600000,0.0
697831200000,0.0
697834800000,0.0
697838400000,0.0
697842000000,0.0
697845600000,0.06
697849200000,0.256
697852800000,0.466
697856400000,0.613
697860000000,0.697
697863600000,0.728
697867200000,0.7
697870800000,0.636
697874400000,0.541
697878000000,0.382
697881600000,0.18
697885200000,0.009
697888800000,0.0
697892400000,0.0
697896000000,0.0
697899600000,0.0
697903200000,0.0
697906800000,0.0
697910400000,0.0
697914000000,0.0
697917600000,0.0
697921200000,0.0
697924800000,0.0
697928400000,0.0
697932000000,0.054
697935600000,0.263
697939200000,0.463
697942800000,0.598
697946400000,0.677
697950000000,0.698
697953600000,0.676
697957200000,0.584
697960800000,0.467
697964400000,0.332
697968000000,0.149
697971600000,0.007
697975200000,0.0
697978800000,0.0
697982400000,0.0
697986000000,0.0
697989600000,0.0
697993200000,0.0
697996800000,0.0
698000400000,0.0
698004000000,0.0
698007600000,0.0
698011200000,0.0
698014800000,0.0
698018400000,0.054
698022000000,0.266
698025600000,0.444
698029200000,0.571
698032800000,0.652
698036400000,0.689
698040000000,0.681
698043600000,0.625
698047200000,0.529
698050800000,0.364
698054400000,0.165
698058000000,0.008
698061600000,0.0
698065200000,0.0
698068800000,0.0
698072400000,0.0
698076000000,0.0
698079600000,0.0
698083200000,0.0
698086800000,0.0
698090400000,0.0
698094000000,0.0
698097600000,0.0
698101200000,0.0
698104800000,0.056
698108400000,0.254
698112000000,0.475
698115600000,0.625
698119200000,0.712
698122800000,0.747
698126400000,0.735
698130000000,0.675
698133600000,0.569
698137200000,0.406
698140800000,0.198
698144400000,0.013
698148000000,0.0
698151600000,0.0
698155200000,0.0
698158800000,0.0
698162400000,0.0
698166000000,0.0
698169600000,0.0
698173200000,0.0
698176800000,0.0
698180400000,0.0
698184000000,0.0
698187600000,0.0
698191200000,0.071
698194800000,0.289
698198400000,0.482
698202000000,0.619
698205600000,0.7
698209200000,0.73
698212800000,0.72
698216400000,0.655
698220000000,0.553
698223600000,0.391
698227200000,0.191
698230800000,0.012
698234400000,0.0
698238000000,0.0
698241600000,0.0
698245200000,0.0
698248800000,0.0
698252400000,0.0
698256000000,0.0
698259600000,0.0
698263200000,0.0
698266800000,0.0
698270400000,0.0
698274000000,0.0
698277600000,0.069
698281200000,0.284
698284800000,0.496
698288400000,0.636
698292000000,0.721
698295600000,0.756
698299200000,0.744
698302800000,0.685
698306400000,0.576
698310000000,0.413
698313600000,0.202
698317200000,0.014
698320800000,0.0
698324400000,0.0
698328000000,0.0
698331600000,0.0
698335200000,0.0
698338800000,0.0
698342400000,0.0
698346000000,0.0
698349600000,0.0
698353200000,0.0
698356800000,0.0
698360400000,0.0
698364000000,0.082
698367600000,0.31
698371200000,0.504
698374800000,0.643
698378400000,0.726
698382000000,0.76
698385600000,0.748
698389200000,0.688
698392800000,0.579
698396400000,0.416
698400000000,0.205
698403600000,0.015
698407200000,0.0
698410800000,0.0
698414400000,0.0
698418000000,0.0
698421600000,0.0
698425200000,0.0
698428800000,0.0
698432400000,0.0
698436000000,0.0
698439600000,0.0
698443200000,0.0
698446800000,0.0
698450400000,0.074
698454000000,0.306
698457600000,0.502
698461200000,0.641
698464800000,0.726
698468400000,0.762
698472000000,0.75
698475600000,0.691
698479200000,0.581
698482800000,0.418
698486400000,0.206
698490000000,0.015
698493600000,0.0
698497200000,0.0
698500800000,0.0
698504400000,0.0
698508000000,0.0
698511600000,0.0
698515200000,0.0
698518800000,0.0
698522400000,0.0
698526000000,0.0
698529600000,0.0
698533200000,0.0
698536800000,0.068
698540400000,0.278
698544000000,0.496
698547600000,0.637
698551200000,0.724
698554800000,0.761
698558400000,0.749
698562000000,0.691
698565600000,0.585
698569200000,0.424
698572800000,0.213
698576400000,0.017
698580000000,0.0
698583600000,0.0
698587200000,0.0
698590800000,0.0
698594400000,0.0
698598000000,0.0
698601600000,0.0
698605200000,0.0
698608800000,0.0
698612400000,0.0
698616000000,0.0
698619600000,0.0
698623200000,0.071
698626800000,0.305
698630400000,0.504
698634000000,0.644
698637600000,0.73
698641200000,0.767
698644800000,0.756
698648400000,0.697
698652000000,0.589
698655600000,0.425
698659200000,0.211
698662800000,0.017
698666400000,0.0
698670000000,0.0
698673600000,0.0
698677200000,0.0
698680800000,0.0
698684400000,0.0
698688000000,0.0
698691600000,0.0
698695200000,0.0
698698800000,0.0
698702400000,0.0
698706000000,0.0
698709600000,0.064
698713200000,0.276
698716800000,0.484
698720400000,0.624
698724000000,0.71
698727600000,0.744
698731200000,0.731
698734800000,0.659
698738400000,0.544
698742000000,0.38
698745600000,0.183
698749200000,0.011
698752800000,0.0
698756400000,0.0
698760000000,0.0
698763600000,0.0
698767200000,0.0
698770800000,0.0
698774400000,0.0
698778000000,0.0
698781600000,0.0
698785200000,0.0
698788800000,0.0
698792400000,0.0
698796000000,0.057
698799600000,0.233
698803200000,0.476
698806800000,0.611
698810400000,0.697
698814000000,0.733
698817600000,0.719
698821200000,0.655
698824800000,0.549
698828400000,0.386
698832000000,0.193
698835600000,0.012
698839200000,0.0
698842800000,0.0
698846400000,0.0
698850000000,0.0
698853600000,0.0
698857200000,0.0
698860800000,0.0
698864400000,0.0
698868000000,0.0
698871600000,0.0
698875200000,0.0
698878800000,0.0
698882400000,0.061
698886000000,0.287
698889600000,0.484
698893200000,0.625
698896800000,0.709
698900400000,0.747
698904000000,0.738
698907600000,0.683
698911200000,0.577
698914800000,0.418
698918400000,0.208
698922000000,0.016
698925600000,0.0
698929200000,0.0
698932800000,0.0
698936400000,0.0
698940000000,0.0
698943600000,0.0
698947200000,0.0
698950800000,0.0
698954400000,0.0
698958000000,0.0
698961600000,0.0
698965200000,0.0
698968800000,0.064
698972400000,0.286
698976000000,0.477
698979600000,0.621
698983200000,0.705
698986800000,0.739
698990400000,0.726
698994000000,0.662
698997600000,0.532
699001200000,0.322
699004800000,0.11
699008400000,0.004
699012000000,0.0
699015600000,0.0
699019200000,0.0
699022800000,0.0
699026400000,0.0
699030000000,0.0
699033600000,0.0
699037200000,0.0
699040800000,0.0
699044400000,0.0
699048000000,0.0
699051600000,0.0
699055200000,0.063
699058800000,0.268
699062400000,0.473
699066000000,0.619
699069600000,0.702
699073200000,0.754
699076800000,0.746
699080400000,0.694
699084000000,0.58
699087600000,0.415
699091200000,0.202
699094800000,0.014
699098400000,0.0
699102000000,0.0
699105600000,0.0
699109200000,0.0
699112800000,0.0
699116400000,0.0
699120000000,0.0
