,B1
762796800000,0.0
762800400000,0.0
762804000000,0.0
762807600000,0.0
762811200000,0.0
762814800000,0.0
762818400000,0.079
762822000000,0.264
762825600000,0.431
762829200000,0.53
762832800000,0.585
762836400000,0.596
762840000000,0.53
762843600000,0.472
762847200000,0.359
762850800000,0.231
762854400000,0.096
762858000000,0.001
762861600000,0.0
762865200000,0.0
762868800000,0.0
762872400000,0.0
762876000000,0.0
762879600000,0.0
762883200000,0.0
762886800000,0.0
762890400000,0.0
762894000000,0.0
762897600000,0.0
762901200000,0.0
762904800000,0.037
762908400000,0.155
762912000000,0.299
762915600000,0.419
762919200000,0.531
762922800000,0.548
762926400000,0.507
762930000000,0.437
762933600000,0.333
762937200000,0.223
762940800000,0.092
762944400000,0.001
762948000000,0.0
762951600000,0.0
762955200000,0.0
762958800000,0.0
762962400000,0.0
762966000000,0.0
762969600000,0.0
