,S1
981482400000,0.0
981486000000,0.0
981489600000,0.0
981493200000,0.0
981496800000,0.096
981500400000,0.301
981504000000,0.493
981507600000,0.573
981511200000,0.437
981514800000,0.336
981518400000,0.359
981522000000,0.373
981525600000,0.344
981529200000,0.252
981532800000,0.112
981536400000,0.0
981540000000,0.0
981543600000,0.0
981547200000,0.0
981550800000,0.0
981554400000,0.0
981558000000,0.0
981561600000,0.0
981565200000,0.0
981568800000,0.0
981572400000,0.0
981576000000,0.0
981579600000,0.0
981583200000,0.051
981586800000,0.217
981590400000,0.429
981594000000,0.598
981597600000,0.651
981601200000,0.709
981604800000,0.694
981608400000,0.624
981612000000,0.502
981615600000,0.336
981619200000,0.14
981622800000,0.0
981626400000,0.0
981630000000,0.0
981633600000,0.0
981637200000,0.0
981640800000,0.0
981644400000,0.0
981648000000,0.0
981651600000,0.0
981655200000,0.0
981658800000,0.0
981662400000,0.0
981666000000,0.0
981669600000,0.06
981673200000,0.22
981676800000,0.348
981680400000,0.433
981684000000,0.523
981687600000,0.546
981691200000,0.542
981694800000,0.51
981698400000,0.419
981702000000,0.273
981705600000,0.096
981709200000,0.0
981712800000,0.0
981716400000,0.0
981720000000,0.0
981723600000,0.0
981727200000,0.0
981730800000,0.0
981734400000,0.0
981738000000,0.0
981741600000,0.0
981745200000,0.0
981748800000,0.0
981752400000,0.0
981756000000,0.068
981759600000,0.265
981763200000,0.47
981766800000,0.584
981770400000,0.643
981774000000,0.638
981777600000,0.641
981781200000,0.59
981784800000,0.496
981788400000,0.328
981792000000,0.128
981795600000,0.0
981799200000,0.0
981802800000,0.0
981806400000,0.0
981810000000,0.0
981813600000,0.0
981817200000,0.0
981820800000,0.0
981824400000,0.0
981828000000,0.0
981831600000,0.0
981835200000,0.0
981838800000,0.0
981842400000,0.057
981846000000,0.22
981849600000,0.373
981853200000,0.496
981856800000,0.593
981860400000,0.587
981864000000,0.544
981867600000,0.442
981871200000,0.292
981874800000,0.164
981878400000,0.063
981882000000,0.0
981885600000,0.0
981889200000,0.0
981892800000,0.0
981896400000,0.0
981900000000,0.0
981903600000,0.0
981907200000,0.0
981910800000,0.0
981914400000,0.0
981918000000,0.0
981921600000,0.0
981925200000,0.0
981928800000,0.064
981932400000,0.246
981936000000,0.393
981939600000,0.508
981943200000,0.605
981946800000,0.658
981950400000,0.658
981954000000,0.602
981957600000,0.431
981961200000,0.261
981964800000,0.089
981968400000,0.0
981972000000,0.0
981975600000,0.0
981979200000,0.0
981982800000,0.0
981986400000,0.0
981990000000,0.0
981993600000,0.0
981997200000,0.0
982000800000,0.0
982004400000,0.0
982008000000,0.0
982011600000,0.0
982015200000,0.073
982018800000,0.233
982022400000,0.404
982026000000,0.577
982029600000,0.656
982033200000,0.716
982036800000,0.699
982040400000,0.618
